Artist,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,"In DAAO 2,188",Link to AWR,Author of NGA Essay,Page of Book,Anne Marsh Critic Author Full Citations,Anne Marsh Critic Authors,Anne Marsh Discussions,Illustration Included?,Link to NLA,Multiple NLA,Missing NLA,related_events,related_organizations,related_people,related_places,related_recognitions,related_resources,related_works,related_total_count
"Watson, Jenny",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1951,1951-10-02 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jenny-watson-1,N,,Sally Brand,364.0,"(1) Annette Blonski and Jeannette Kavanagh (Fenelon), 'Born again pop: A discussion of the exhibition ""POPISM""', Lip (1982-83): 47-49 [407-9]
(2) Janine Burke, 'Art for the end of the world', Meanjin 40, 3 (October 1981): 375-82 [409-11]
(3) Virginia Fraser, 'Opinion contest', Art Monthly 117 (March 1999): 21-3 [426-28]
(4) Catriona Moore, 'Visual arts and crafts', in Barbara Caine (ed.), Australian Feminism: A Companion (Melbourne: Oxford University Press, 1998), 344-55 [494-98]","(1) Annette Blonski and Jeannette Kavanagh (Fenelon)
(2) Janine Burke
(3) Virginia Fraser
(4) Catriona Moore","91i, 121, 121i, 409, 410, 426-28 497",Y,https://trove.nla.gov.au/people/461154,N,N,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
"Traill, Jessie",Individual,,Boonwurrung Land,Brighton,VIC,Australia,-37.9081962,144.9957991,1881,29/07/1881,Corhanwarrabul,Emerald,VIC,Australia,-37.9321414,145.4407189,1967,1967-05-15 00:00:00,https://www.daao.org.au/bio/jessie-traill,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/AWE6397b.htm,Jo Oliver,356.0,,,,,https://trove.nla.gov.au/people/563644,N,N,16.0,0.0,14.0,10.0,2.0,9.0,0.0,51.0
"Orr, Jill",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1952,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jill-orr,N,,Anne Marsh,290.0,"(1) Judy Annear and Aleks Danko, 'Introduction', in Women at Work: A Week of Women's Performance Art June 1980, exhibition catalogue, George Paton Gallery, University of Melbourne, 1980 (extract) [406-7]
(2) Anne Marsh, 'Julie Rrap stepping in (a feminist context)', Broadsheet Contemporary Visual Arts + Culture 36, 4 (2007): 248-51 [440-42]","(1) Judy Annear and Aleks Danko
(2) Anne Marsh","63, 63i, 97i, 179, 179i, 262, 262i, 272, 272i, 406, 407, 442",Y,https://trove.nla.gov.au/people/582290,N,N,11.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0
"Lloyd, Jo",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1975,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jo-lloyd/biography,N,,,,,,,,https://trove.nla.gov.au/people/1823010,N,N,,,,,,,,
"Brassil, Joan",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1919,1919-08-01 00:00:00,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,2005,2005-04-01 00:00:00,https://www.daao.org.au/bio/joan-brassil-1,N,,Susan Best,54.0,,,,,"https://trove.nla.gov.au/people/531955
https://trove.nla.gov.au/people/1491394",Y,N,7.0,0.0,0.0,3.0,0.0,1.0,2.0,13.0
"Grounds, Joan",Individual,,,Atlanta,Georgia,USA,33.7489924,-84.3902644,1939,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/joan-grounds,N,,Yvette dal Pozzo,168.0,"(1) Judy Annear and Aleks Danko, 'Introduction', in Women at Work: A Week of Women's Performance Art June 1980, exhibition catalogue, George Paton Gallery, University of Melbourne, 1980 (extract) [406-7]",(1) Judy Annear and Aleks Danko,"38, 385-6, 406, 407",N,https://trove.nla.gov.au/people/572913,N,N,11.0,0.0,9.0,1.0,0.0,0.0,1.0,22.0
"Ross, Joan",Individual,,,Glasgow,Scotland,United Kingdom,55.861155,-4.2501687,1961,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/joan-ross,N,,Emma Kindred,318.0,,,,,"https://trove.nla.gov.au/people/1625325
https://trove.nla.gov.au/people/962030",Y,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"Hester, Joy",Individual,,Boonwurrung Land,Elsternwick,VIC,Australia,-37.8858425,145.0070152,1920,1920-08-21 00:00:00,Wurundjeri Land,Box Hill,VIC,Australia,-37.8215116,145.1261267,1960,1960-12-04 00:00:00,https://www.daao.org.au/bio/joy-hester,Y,,Denise Mimmocchi,188.0,,,,,https://trove.nla.gov.au/people/634371,N,N,13.0,0.0,12.0,9.0,1.0,5.0,4.0,44.0
"Hinterding, Joyce",Individual,,Narrm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1958,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/joyce-hinterding,N,,Sarina Noordhuis-Fairfax,194.0,,,,,https://trove.nla.gov.au/people/1491305,N,N,5.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0
"Rae, Jude",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1956,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jude-rae,Y,,,,,,,,https://trove.nla.gov.au/people/1481884,N,N,10.0,0.0,0.0,7.0,0.0,1.0,2.0,20.0
"Wright, Judith",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1945,1945-07-04 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/judith-wright-1/biography,N,,Geraldine Barlow,374.0,,,"264, 264i",Y,"https://trove.nla.gov.au/people/500599
https://trove.nla.gov.au/people/1528425",N,N,,,,,,,,
"Kngwarray, Judy Purvis",Individual,Anmatyrre People,,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/judy-purvis-kngwarray,N,,,,,,,,https://trove.nla.gov.au/people/1879478,N,N,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
"Watson, Judy",Individual,Waanyi People,Mundubbera,Mundubbera,QLD,Australia,-25.5909717,151.2994332,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/judy-watson-1,Y,,Louise Martin-Chew,366.0,"(1) Hetti Perkins, 'Introduction', in Aboriginal Women's Exhibition, exhibition catalogue, AGNSW, 1991, 7-13 [452-57]
(2) Carol Archer, 'The ambivalent paintings of Judy Watson', Australian and New Zealand Journal of Art 7, 2 (2006): 62-76 [461-64]
(3) Julie Ewington, Frames of Reference, Art & Text 41 (1992): 30-32 [485-86]
(4) Sue Jackson, 'Introduction', in the catalogue to Judy Watson: the scarifier, an installation in response to Panorama exhibition, TarraWarra Museum of Art, 12 March-31 July 2016 [512-13]","(1) Hetti Perkins
(2) Carol Archer
(3) Julie Ewington
(4) Sue Jackson","49, 58, 87, 127i, 162, 204, 245, 260, 260i 457, 461, 462-64, 464 486, 512-13",Y,https://trove.nla.gov.au/people/1486218,N,N,39.0,0.0,17.0,11.0,11.0,13.0,15.0,106.0
"Dowling, Julie",Individual,Badimia/Yamatji People,Boorloo,Perth,WA,Australia,-31.9558933,115.8605855,1969,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/julie-dowling,Y,,Carol Dowling,110.0,,,"247, 247i",Y,"https://trove.nla.gov.au/people/1487192
https://trove.nla.gov.au/people/1458326 ",N,N,9.0,0.0,1.0,5.0,12.0,0.0,65.0,92.0
"Gough, Julie",Individual,Trawlwoolway People,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1965,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/julie-gough,Y,,Mary Knights,160.0,,,"78, 78i, 190i, 245, 256, 256i",Y,https://trove.nla.gov.au/people/1487631,N,N,26.0,0.0,5.0,11.0,14.0,13.0,10.0,79.0
"Rrap, Julie",Individual,,Tuckurimbah,Lismore,NSW,Australia,-28.8077608,153.2791883,1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/julie-rrap,Y,,Victoria Lynn,322.0,"(1) Anne Marsh, 'Julie Rrap stepping in (a feminist context)', Broadsheet Contemporary Visual Arts + Culture 36, 4 (2007): 248-51 [440-42]
(2) Julie Ewington, Frames of Reference, Art & Text 41 (1992): 30-32 [485-86]
(3) Catriona Moore, 'Visual arts and crafts', in Barbara Caine (ed.), Australian Feminism: A Companion (Melbourne: Oxford University Press, 1998), 344-55 [494-98]","(1) Anne Marsh
(2) Julie Ewington
(3) Catriona Moore","130, 130i, 131i, 440-41, 442, 486, 497",Y,https://trove.nla.gov.au/people/521467,N,N,14.0,0.0,4.0,4.0,0.0,1.0,0.0,23.0
"Williams, Justene",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1970,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/justene-williams,Y,,Lucina Ward,368.0,,,,,https://trove.nla.gov.au/people/1483994,N,N,2.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0
"Turner, Mazie Karen",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1954,1954-11-01 00:00:00,Mulunbinba,Newcastle,NSW,Australia,-32.9272881,151.7812534,2014,2014-06-07 00:00:00,https://www.daao.org.au/bio/karen-turner,N,,,,,,,,,N,Y,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
"Dickens, Karla",Individual,Wiradjuri People,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1967,1967-12-02 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/karla-dickens,Y,,Tina Baum,106.0,,,"245, 257, 257i, 266, 266i, 267",Y,https://trove.nla.gov.au/people/1485778,N,N,13.0,0.0,7.0,10.0,4.0,5.0,2.0,41.0
"Beynon, Kate",Individual,,,Hong Kong,,Hong Kong,22.381131,114.135572,1970,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/kate-beynon,Y,,,,,,"163, 217, 218i, 291i, 478-9, 480",Y,https://trove.nla.gov.au/people/1483130,N,N,6.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0
"O'Connor, Kathleen",Individual,,Hokitika,Hokitika,West Coast,New Zealand,-42.7178871,170.9646469,1876,14/09/1876,Boorloo,Perth,WA,Australia,-31.9558933,115.8605855,1968,1968-08-24 00:00:00,https://www.daao.org.au/bio/kathleen-oconnor-1,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/PR00779b.htm,,,,,,,https://trove.nla.gov.au/people/541895,N,N,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
"Cavaliere, Katthy",Individual,,,Sarteano,Tuscany,Italy,42.989911,11.8687316,1972,1972-11-11 00:00:00,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,2012,2012-01-23 00:00:00,https://www.daao.org.au/bio/kathy-cavaliere,Y,,,,,,,,https://trove.nla.gov.au/people/546767,N,N,2.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0
"Temin, Kathy",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1968,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/kathy-temin-1,N,,Geraldine Barlow,342.0,"(1) Julie Ewington, Frames of Reference, Art & Text 41 (1992): 30-32 [485-86]
(2) Catriona Moore, 'Visual arts and crafts', in Barbara Caine (ed.), Australian Feminism: A Companion (Melbourne: Oxford University Press, 1998), 344-55 [494-98]","(1) Julie Ewington
(2) Catriona Moore","166, 166i, 486, 497",Y,https://trove.nla.gov.au/people/516625,N,N,5.0,0.0,1.0,5.0,1.0,1.0,0.0,13.0
"Poliness, Kerrie",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/kerrie-poliness,N,,Carolyn Barnes,298.0,,,,,https://trove.nla.gov.au/people/1516738,N,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Kantilla, Kitty (Kutuwalumi Purawarrumpatu)",Individual,Tiwi People,Piripumawu,"Piripumawu, Melville Island",NT,Australia,-11.5235,131.0394,1924-8,,Garramilla,Darwin,NT,Australia,-12.46044,130.8410469,2003,2003-10-04 00:00:00,https://www.daao.org.au/bio/kitty-kantilla,N,,Judith Ryan,204.0,,,,,https://trove.nla.gov.au/people/1690502,N,N,1.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0
"Pate, Klytie",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1912,1912-10-20 00:00:00,Pur-ra-ran,Prahran,VIC,Australia,-37.8519135,145.0005993,2010,2010-06-10 00:00:00,https://www.daao.org.au/bio/klytie-plate,Y,,Emma Bukowsky Cox,294.0,,,,,https://trove.nla.gov.au/people/613639,N,N,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"Kunmanara, Kawiny",Individual,Pitjantjatjara People,"Katjikuta, Anangu Pitjantjatjara Yankunytjatjara Lands","Katjikuta, Anangu Pitjantjatjara Yankunytjatjara Lands",SA,Australia,,,1919 or 1921,,,,,,,,2013,2013-07-01 00:00:00,https://www.daao.org.au/bio/kunmanara-kawiny,N,,,,,,,,https://trove.nla.gov.au/people/1879477,N,N,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
"Brincat, Lauren",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1980,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lauren-brincat,N,,Lauren Brincat,58.0,,,,,https://trove.nla.gov.au/people/1516347,N,N,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0
"Nyadbi, Lena",Individual,Gija People,,Greenvale Station,QLD,Australia,-18.9746859,145.1120784,1936,,,,,,,,2024,2024-07-07 00:00:00,https://www.daao.org.au/bio/lena-nyadbi,N,,Margie West,280.0,,,,,https://trove.nla.gov.au/people/1553536,N,N,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0
"Yarinkura, Lena",Individual,Rembarrnga/Kune People,Maningrida,Maningrida,NT,Australia,-12.0524203,134.2267293,1960,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lena-yarinkura,N,,Lena Yarinkura and Michelle Culpit,376.0,,,,,"https://trove.nla.gov.au/people/1690251
https://trove.nla.gov.au/people/1517645",Y,N,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
"Dumbrell, Lesley",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1941,1941-10-14 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lesley-dumbrell,N,,,,"(1) Lara Nicholls (curator), Abstraction: Celebrating Australian Women Abstract Artsists, exhibition brochure, National Gallery of Australia, touring exhibition 2017-18 [395-97]
(2) Janine Burke, 'Art for the end of the world', Meanjin 40, 3 (October 1981): 375-82 [409-11]","(1) Lara Nicholls
(2) Janine Burke","18, 24-5, 25i, 30, 58, 99i, 396, 409",Y,https://trove.nla.gov.au/people/461159,N,N,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bush Couture,Collective,,,,,Australia,-24.7761086,134.755,1982,,,,,,,,1994,,https://www.daao.org.au/bio/linda-jackson,Y,,,,,,,,,N,Y,95.0,0.0,10.0,15.0,5.0,37.0,76.0,238.0
"Jackson, Linda",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/linda-jackson,Y,,Rebecca Evans,206.0,,,,,"https://trove.nla.gov.au/people/608618
https://trove.nla.gov.au/people/495431",Y,N,95.0,0.0,10.0,15.0,5.0,37.0,76.0,238.0
"Marrinon, Linda",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/linda-marrinon,N,,Charlotte Day,252.0,,,92i,Y,https://trove.nla.gov.au/people/1516503,N,N,7.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
"Lee, Lindy",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1954,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lindy-lee,Y,,Anne O'Hehir,228.0,"(1) Melissa Chiu, 'Text and subtext: Contemporary art and Asian women', in Shifting Frames of Reference: Asian Australian Women Artists, Earl Lu Gallery, Singapore (LASALLIE-SIA College of the Arts, 2000), 89-95 [478-80]",(1) Melissa Chiu,"163, 216i, 217, 478, 480",Y,https://trove.nla.gov.au/people/609421,N,N,18.0,0.0,3.0,6.0,0.0,1.0,1.0,29.0
"Greeno, Lola",Individual,Pakana People,Truwana,Cape Barren Island,TAS,Australia,-40.37342,148.02703,1946,1946-05-27 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lola-greeno,Y,,Zoe Rimmer,166.0,,,,,https://trove.nla.gov.au/people/1459799,N,N,9.0,0.0,14.0,7.0,1.0,5.0,7.0,43.0
"Whiting, Lorri",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1927,,,Orbetello,,Italy,42.4380944,11.2107429,2019,,https://www.daao.org.au/bio/lorri-whiting,N,,,,,,,,https://trove.nla.gov.au/people/1471763,N,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Hearman, Louise",Individual,,Wurundjeri Land,Croydon,VIC,Australia,-37.7913501,145.2814663,1963,1963-09-06 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/louise-hearman,N,,Nicola Teffer,184.0,,,,,https://trove.nla.gov.au/people/1522657,N,N,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
"Draper, Lynda",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lynda-draper,Y,,Rebecca Edwards,112.0,,,,,https://trove.nla.gov.au/people/1484140,N,N,13.0,0.0,1.0,7.0,12.0,0.0,0.0,33.0
"Juli, Mabel",Individual,Gija People,Moola Bulla,"Moola Bulla Station, East Kimberley",WA,Australia,-17.0,126.0,1932,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/mabel-juli,Y,,Carly Lane,202.0,,,,,https://trove.nla.gov.au/people/1516573,N,N,10.0,0.0,6.0,1.0,3.0,4.0,1.0,25.0
"Staunton, Madonna",Individual,,Murwillumbah,Murwillumbah,NSW,Australia,-28.3267617,153.3971541,1938,1938-10-06 00:00:00,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,2019,2019-12-16 00:00:00,https://www.daao.org.au/bio/madonna-staunton,N,,Elspeth Pitt,338.0,,,,,https://trove.nla.gov.au/people/1531627,N,N,7.0,0.0,2.0,4.0,0.0,1.0,0.0,14.0
"Martin, Mandy",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231427,1952,1952-11-18 00:00:00,Wiradjuri Land,Orange,NSW,Australia,-33.2820463,149.0971567,2021,2021-07-10 00:00:00,https://www.daao.org.au/bio/mandy-martin,Y,,,,"(1) Julie Ewington, 'Political postering', in Paul Taylor (ed.), Anything Goes: Art in Australia 1970-1980 (South Yarra: Art & Text, 1984), 88-97 [370-73]
(2) Janine Burke, 'Art for the end of the world', Meanjin 40, 3 (October 1981): 375-82 [409-11]","(1) Julie Ewington
(2) Janine Burke","49, 58, 59i, 116, 372, 410",Y,https://trove.nla.gov.au/people/601565,N,N,15.0,0.0,8.0,7.0,0.0,8.0,0.0,38.0
"Gazzard, Marea",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1928,1928-06-02 00:00:00,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,2013,2013-10-28 00:00:00,https://www.daao.org.au/bio/marea-gazzard-1,Y,,Rebecca Edwards,150.0,,,,,https://trove.nla.gov.au/people/507907,N,N,9.0,0.0,7.0,3.0,0.0,7.0,5.0,31.0
"Clarke, Maree",Individual,,Matakupaat,Swan Hill,VIC,Australia,-35.3390784,143.5588436,1961,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/maree-clarke,N,,Kimberley Moulton,76.0,,,,,"https://trove.nla.gov.au/people/1486825
https://trove.nla.gov.au/people/1869835",Y,N,0.0,0.0,8.0,2.0,0.0,1.0,0.0,11.0
"Dodd, Margaret",Individual,,Bery Bery,Berri,SA,Australia,-34.2854741,140.6017385,1941,1941-02-01 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/margaret-dodd,Y,,Susan Charlton,108.0,,,"29, 56i, 58",Y,https://trove.nla.gov.au/people/617595,N,N,5.0,0.0,1.0,7.0,0.0,5.0,2.0,20.0
"Olley, Margaret",Individual,,Tuckurimbah,Lismore,NSW,Australia,-28.8077608,153.2791883,1923,1923-06-24 00:00:00,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,2011,2011-07-26 00:00:00,https://www.daao.org.au/bio/margaret-olley,Y,https://www.womenaustralia.info/biogs/PR00468b.htm,Christine France,286.0,,,,,,N,Y,24.0,0.0,17.0,18.0,1.0,3.0,2.0,65.0
"Preston, Margaret",Individual,,Yartapuulti,Port Adelaide,SA,Australia,-34.8342755,138.5123548,1875,29/04/1875,Borogegal Land,Mosman,NSW,Australia,-33.8301355,151.2447663,1963,1963-05-28 00:00:00,https://www.daao.org.au/bio/margaret-preston,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/AWE0257b.htm,Deborah Edwards,300.0,,,,,https://trove.nla.gov.au/people/481573,N,N,39.0,0.0,28.0,21.0,2.0,27.0,11.0,128.0
"West, Margaret",Individual,,,,,,,,1936,1936-08-31 00:00:00,Dharug/Gundungurra/Wiradjuri Land,Blackheath,NSW,Australia,-33.6338889,150.2847222,2014,2014-11-02 00:00:00,https://www.daao.org.au/bio/margaret-west,N,,,,,,,,https://trove.nla.gov.au/people/1519110,N,N,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"Worth, Margaret",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231427,1944,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/margaret-worth,Y,,Mary Eagle,372.0,"(1) Lara Nicholls (curator), Abstraction: Celebrating Australian Women Abstract Artsists, exhibition brochure, National Gallery of Australia, touring exhibition 2017-18 [395-97]",(1) Lara Nicholls,"18, 25, 25i, 397",Y,https://trove.nla.gov.au/people/1472191,N,N,5.0,0.0,5.0,7.0,0.0,2.0,0.0,19.0
"Hinder, Margel",Individual,,Lenape Land,New York,New York,USA,40.7127281,-74.0060152,1906,1906-01-04 00:00:00,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,1995,1995-05-29 00:00:00,https://www.daao.org.au/bio/margel-ina-hinder,Y,,Denise Mimmocchi,192.0,,,,,https://trove.nla.gov.au/people/617457,N,N,15.0,0.0,15.0,3.0,0.0,2.0,3.0,38.0
"Lewers, Margo",Individual,,Gadigal Land,Mosman,NSW,Australia,-33.8301355,151.2447663,1908,,Mulgoa Dharug Land,Emu Plains,NSW,Australia,-33.7483333,150.6677778,1978,1978-02-20 00:00:00,https://www.daao.org.au/bio/margo-lewers,N,,,,,,,,https://trove.nla.gov.au/people/476365,N,N,21.0,0.0,11.0,3.0,0.0,10.0,2.0,47.0
"Mahood, Marguerite",Individual,,Quo-yung,Richmond,VIC,Australia,-37.8203955,145.0025153,1901,1901-07-29 00:00:00,Turrak,Toorak,VIC,Australia,-37.8416141,145.0176215,1989,1989-10-14 00:00:00,https://www.daao.org.au/bio/marguerite-henriette-mahood,Y,,,,,,,,https://trove.nla.gov.au/people/459608,N,N,5.0,0.0,5.0,8.0,0.0,36.0,5.0,59.0
"Cardoso, Maria Fernanda",Individual,,,Bogotá,Bogotá,Colombia,4.6533816,-74.0836333,1963,1963-02-02 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/maria-fernanda-cardoso,N,,Rachel Kent,70.0,,,,,"https://trove.nla.gov.au/people/1517551
https://trove.nla.gov.au/people/1645247",Y,N,10.0,0.0,3.0,4.0,2.0,5.0,8.0,32.0
"McMahon, Marie",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1953,1963-09-11 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/marie-mcmahon-2,Y,,Anna Zagala,236.0,,,,,https://trove.nla.gov.au/people/1481840,N,N,10.0,0.0,4.0,1.0,0.0,9.0,10.0,34.0
"Borgelt, Marion",Individual,,Nhill,Nhill,VIC,Australia,-36.3331297,141.6492931,1954,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/marion-borgelt,Y,,,,,,,,https://trove.nla.gov.au/people/544368,N,N,17.0,0.0,0.0,10.0,21.0,14.0,33.0,95.0
